Grid ID,RPPA ID,tissue type,PRKAA2,BECN1,IGF1R,IRS1,SLC16A1,SLC16A3,MTOR,KDR,GC,CYP27B1,ALDOA,AR,ACLY,ENO1,ENO2,MAPK3,FOXO1,G6PD,LGALS1,LGALS3,GAPDH,EIF2AK4,HK2,LDHA,NFE2L2,TP53,PHGDH ,PDK1,PIK3CG,MLXIPL,NR3C1,SLC2A4,ELANE,PDK1,PFKFB2,PPARG,PDHA1,EBAG9,CDK4,CREB1,DAGLB,GSK3A,HK1,NDRG3,CD274,PFKFB3,SLC6A4,CRTC2,PGAM1,PKM,AKT1,EGFR Y1101,EGFR Y1148,MSH2,RPS6KB1,TGFB1,TALDO1
GRID-   5-R1C13,KLY-005,Group_1,3.916774,1.499232105,2.986426793,0,6.43794117,5.100344954,1.350239329,0.982881366,30.18659822,2.747563571,40.73523831,1.429334758,0.604801518,1.473021397,22.44673103,25.7089664,3.59738091,9.672265624,0,9.974008618,2.882744347,6.346801949,32.07588809,26.57903737,5.999582856,0.231424848,21.32959338,4.537370481,5.981205819,19.05715494,8.468558031,21.74071661,25.18054211,21.6252624,7.490970663,15.54824181,11.31055709,27.67588739,5.239589208,17.72827225,12.73236421,11.43315001,40.61709566,2.105130251,15.48373198,2.633393016,6.380493537,0,18.84391586,39.90117758,12.27798576,0.946144295,27.01688562,20.68927255,5.00046883,2.241399156,17.42551551
GRID-   5-R1C17,CS-006,Group_1,8.22723,2.723552036,2.89246428,0.139062007,9.121337091,7.139294042,2.08069107,0.939370551,18.19943014,3.332175687,44.82220417,0.813663178,1.221896331,1.234399009,24.35076039,41.13406813,8.848520657,3.106194724,0,23.05464853,2.303849322,11.40024715,11.08398348,17.91306812,6.902058954,0.183251032,17.59736752,5.234174172,6.673277312,20.15410047,14.74368186,15.64481483,25.04324037,25.98951959,13.0707539,15.78639353,16.39554108,35.29356177,11.59862773,51.20487682,4.815783664,19.41322556,43.81072839,3.625605506,14.17408655,1.970943157,7.482071129,0.02955646,19.32659059,42.31945772,23.41202391,1.658077512,44.74037491,44.95762334,6.36316583,2.119183261,14.9831668
GRID-   6-R1C1,TW-007,Group_1,2.508434,0.765845427,2.719882768,0.238411685,7.364560055,1.701999027,0.858777974,0.962871435,15.48826187,1.286779008,38.21953474,0.426876842,0.472933151,0.615559331,11.62694686,14.58979538,3.218624918,6.115859346,0.040725782,5.060077097,0.128416709,2.877012803,5.858820452,1.687595934,9.052839592,0.895767644,12.51281806,2.461204016,5.628726603,14.50752191,5.821162984,10.7102325,24.90738456,7.716827297,5.831027818,14.16069979,5.608167126,20.2843376,4.106135974,20.54500789,2.735299411,9.401558419,33.76135874,3.794871116,12.56860288,1.764313641,4.721513538,0.108594181,5.385610698,5.403319192,13.34128434,1.483700303,29.28006468,20.16200219,4.28679106,2.805880492,17.78626048
GRID-   6-R1C5,MEP-008,Group_1,3.919334,2.077414498,3.242775123,0.248289008,7.548737972,3.770006907,0.659654755,0.796260988,16.55066065,2.042425745,45.79733715,0.841526366,ATP Citrate Lyase CV too high,0.757126906,15.09175376,27.80527212,6.443305812,6.024026007,0.026454249,18.13782892,1.926023254,10.48893381,6.332013186,6.257104635,7.271564413,0.482722319,14.10070833,5.092965933,6.315253048,18.8592247,14.1591358,16.21500813,28.60102104,19.14397907,11.86498828,15.61481583,10.100576,26.96826498,4.22519123,29.93937468,6.419864378,14.16180182,44.29913633,4.109961894,10.41933291,2.210452496,7.601099179,0.357284093,8.640859016,36.37221964,28.21099697,1.688032546,35.82732008,24.74681788,9.089781995,1.707101064,15.87390437
GRID-   6-R1C9,JDS-009,Group_1,4.153745,1.748760067,2.775696501,0.243382071,5.88791434,2.287327842,0.764077434,0.874707301,15.57897979,1.557254354,36.31500954,0.660483806,0.459123721,0.739846043,14.84522,22.08557867,3.464775258,3.811923681,0.051280914,8.584525873,0.369061673,5.709912934,2.809691356,2.913253166,5.54929304,0.390474932,14.50151925,3.202470793,5.572410814,17.06021048,8.928510715,20.73351161,28.45338682,16.24744982,8.019076754,14.92312317,11.46691595,26.84998101,2.850345185,23.86054055,4.000520354,12.16691269,34.52410476,2.617867467,9.406975004,2.451302222,5.489066829,0.127415935,5.78130713,12.81476945,15.40134656,1.007186782,30.5570929,20.20540956,4.286378949,1.473874006,10.92547777
GRID-   6-R1C17,CS-012,Group_1,5.661251,1.112104416,2.687806162,0,5.223494778,1.123145747,0.376812213,0.564359455,15.28248799,0.840153354,33.88515772,1.423682896,0.109791742,0.37569086,11.45826885,18.65920143,2.657191561,1.958295013,0,8.863295548,0.211116643,4.817531602,2.290874703,1.438644761,5.036000033,0.101757483,11.85044401,1.773702345,4.594552562,12.1311601,8.600306906,17.278741,23.78262285,11.3980371,7.116688353,11.80560461,14.18494436,20.29196195,2.10661802,24.86043572,2.18605345,7.440473616,28.47659779,1.526238345,3.287580615,1.799963831,5.751914258,0.04384404,7.649880931,9.434444015,8.671296494,0.91614913,28.32865487,23.47533239,2.923693354,0.881173014,9.552771895
GRID-   7-R1C1,CN-013,Group_1,4.534673,13.51896085,2.854627172,0.506571954,8.990442381,2.519681736,2.483112243,0.788495415,17.665109,1.812623991,40.71145696,12.14595984,1.107917875,1.086688578,27.14287564,29.56044544,12.98066977,10.96485394,0,13.89025956,1.584010051,14.67469591,10.50014543,11.93446487,6.528766734,2.010383676,23.16435513,5.281619087,10.65391964,11.16207197,18.72516956,5.468888949,36.50384103,17.19529155,15.30596435,20.59572832,14.16883278,33.6295917,6.842569805,37.04892397,6.885893264,24.27376868,47.31174663,8.355952989,7.746303926,0,10.96887289,0,17.48989374,33.05107552,41.56300945,2.354831474,37.57234517,49.71847219,14.93839926,2.592116348,19.511563
GRID-   7-R1C5,SL-014,Group_1,8.244797,2.200281526,3.01052966,0.325667384,8.114908607,1.743791909,0.739507771,0.730982287,14.22444409,1.340223977,35.02143879,1.097578102,1.028100532,1.174676045,19.02174858,22.04170447,14.37337289,5.350534034,0,15.00368511,1.653372488,12.36146116,5.948297181,2.9798606,6.591793477,0.995318094,23.25732421,5.288524168,12.3254574,14.34147375,8.457919212,7.991410133,26.37056753,19.04772197,13.36024484,15.42503246,20.95645768,34.35285676,7.209796198,20.08632832,5.144480783,18.55759715,39.73035436,5.323489776,6.444140555,6.656309298,15.26736226,0,10.97299589,38.08804821,14.0818118,1.44240547,34.18519764,34.69224475,10.36382182,2.624972331,14.39971487
GRID-   7-R1C9,CP-015,Group_1,5.221492,2.915088765,2.726463514,0,9.250936198,2.508794663,1.017459797,0.714151237,16.23789243,1.89454136,39.31157381,13.84428313,1.146220592,1.143549685,20.68111634,38.22480097,17.94693631,5.033815586,0.067385167,13.48809363,2.852267233,13.46548631,11.24669588,7.680292474,8.198453384,0.984364653,19.47409748,4.814540175,10.70002857,23.03148407,10.56492186,15.21711158,29.17851798,39.73619525,17.45935528,17.30849424,19.07371251,40.37296048,10.01827462,36.29162937,9.501895992,37.49623588,47.20727842,11.9241824,8.054982521,5.01582211,15.99907974,0.566884874,12.45077273,35.91024448,71.61854935,2.927720346,57.1756593,59.01006008,13.11806763,3.382025501,18.61543864
GRID-   7-R1C13,MT-016,Group_1,2.91585,1.306164202,2.957014128,0.079402242,6.572430682,1.301973975,0.823233214,0.6060152,18.22746117,0.750254554,37.59067237,1.446573028,0.996618935,0.875703655,16.49624265,34.6541074,4.352134074,3.008996022,0,13.33232367,0.43228857,3.924092101,1.884938903,3.52515623,8.023167094,0.353476879,10.41767888,2.532477879,5.705488654,18.09859761,12.55067597,18.92549493,27.02483771,15.02896008,8.111993991,14.74805921,10.3234726,24.96403814,2.684633299,28.67962017,2.955438431,9.278785514,36.99250076,1.205354492,5.297777736,3.253027727,7.441928185,0.299444163,6.021589035,11.38953495,21.84647203,2.464180677,42.71887075,33.25746008,5.015647449,1.8027906,13.13835725
